식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,store,group,account_id,account_review_count,visit_date,visit_count_raw,verification,has_photo_raw,review_text,rating,account_avg_rating,has_photo,visit_count,clean_review,review_length,clean_length,length_under_10,length_under_30,length_over_30,length_over_60,food_detail_count,has_food_detail,strong_food_detail_review,menu_count,has_menu,rich_menu_review,experience_count,has_experience,strong_experience_review,context_count,has_context,has_any_number,number_detail_count,has_number_detail,generic_praise_count,has_generic_praise,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,trendy_revisit_count,has_trendy_revisit_phrase,account_review_count_is_1,account_review_count_under_5,account_review_count_over_10,account_review_count_over_50,first_visit,revisit,menu_and_food_detail,short_generic_review,ultra_short_praise,generic_without_detail,menu_only_praise,experience_rich_review,high_specificity_review,rich_context_review,low_information_review,event_like_short_praise,event_like_sns_or_service,event_like_low_info_first_visit
태양곱창 성수점,김지윤8833,6,2026.01.31,1번째 방문,영수증,음식 빨리 나와서 좋아요 매장도 넓고 쾌적한데 직원 흡연실은 따로 배치하시는게 좋을거 같아요!! 근데 내장냄새 예민하신분은 힘드실거 같아요!,78,True,태양곱창,event,김지윤8833,6,2026.01.31,1번째 방문,영수증,,음식 빨리 나와서 좋아요 매장도 넓고 쾌적한데 직원 흡연실은 따로 배치하시는게 좋을거 같아요!! 근데 내장냄새 예민하신분은 힘드실거 같아요!,,,0,1,음식 빨리 나와서 좋아요 매장도 넓고 쾌적한데 직원 흡연실은 따로 배치하시는게 좋을거 같아요 근데 내장냄새 예민하신분은 힘드실거 같아요,78,75,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,새이97,2,2025.10.16,1번째 방문,영수증,맛있습니다! 얼큰하니 해장하기 딱이예요~,22,True,태양곱창,event,새이97,2,2025.10.16,1번째 방문,영수증,,맛있습니다! 얼큰하니 해장하기 딱이예요~,,,0,1,맛있습니다 얼큰하니 해장하기 딱이예요,22,20,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,kyu****,42,2025.10.02,1번째 방문,영수증,곱창전골 맛있어요. 곱창이 많아서 좋아요.,23,True,태양곱창,event,kyu****,42,2025.10.02,1번째 방문,영수증,,곱창전골 맛있어요. 곱창이 많아서 좋아요.,,,0,1,곱창전골 맛있어요 곱창이 많아서 좋아요,23,21,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1
태양곱창 성수점,윤성호16,26,2025.11.30,1번째 방문,영수증,곱창전골 맛있어요~,10,True,태양곱창,event,윤성호16,26,2025.11.30,1번째 방문,영수증,,곱창전골 맛있어요~,,,0,1,곱창전골 맛있어요,10,9,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1
태양곱창 성수점,gan****,32,2025.09.23,1번째 방문,영수증,저녁시간엔 항상 웨이팅 있어서 조금 일찍 방문했는데 바로 들어왔어요! 음식도 빨리 나오고 맛있습니다! ^_^,60,True,태양곱창,event,gan****,32,2025.09.23,1번째 방문,영수증,,저녁시간엔 항상 웨이팅 있어서 조금 일찍 방문했는데 바로 들어왔어요! 음식도 빨리 나오고 맛있습니다! ^_^,,,0,1,저녁시간엔 항상 웨이팅 있어서 조금 일찍 방문했는데 바로 들어왔어요 음식도 빨리 나오고 맛있습니다,60,54,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,호연5144,18,2026.02.27,1번째 방문,영수증,음식이 푸짐하고 맛도 좋아용~,16,True,태양곱창,event,호연5144,18,2026.02.27,1번째 방문,영수증,,음식이 푸짐하고 맛도 좋아용~,,,0,1,음식이 푸짐하고 맛도 좋아용,16,15,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,쿄캬쿌랴,29,2025.08.31,1번째 방문,영수증,성수에서 맛집으로 유명해서 친구랑 먹으러 왔어요! 좀 이른 시간이라 웨이팅은 없었어요! 양이 너무너무너무 많고 볶음밥은 따로 나와서 질릴 때쯤 시켜먹으면 좋을 것 같아요 같이 시켜먹은 레몬하이볼이랑 잘어울렸어요!,118,True,태양곱창,event,쿄캬쿌랴,29,2025.08.31,1번째 방문,영수증,,성수에서 맛집으로 유명해서 친구랑 먹으러 왔어요! 좀 이른 시간이라 웨이팅은 없었어요! 양이 너무너무너무 많고 볶음밥은 따로 나와서 질릴 때쯤 시켜먹으면 좋을 것 같아요 같이 시켜먹은 레몬하이볼이랑 잘어울렸어요!,,,0,1,성수에서 맛집으로 유명해서 친구랑 먹으러 왔어요 좀 이른 시간이라 웨이팅은 없었어요 양이 너무너무너무 많고 볶음밥은 따로 나와서 질릴 때쯤 시켜먹으면 좋을 것 같아요 같이 시켜먹은 레몬하이볼이랑 잘어울렸어요,118,115,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,3,1,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
태양곱창 성수점,소비 기록,130,2026.04.04,1번째 방문,영수증,배달만 시켜먹다가 매장 방문해서 전골 먹었어요 맛있습니다!,32,True,태양곱창,event,소비 기록,130,2026.04.04,1번째 방문,영수증,,배달만 시켜먹다가 매장 방문해서 전골 먹었어요 맛있습니다!,,,0,1,배달만 시켜먹다가 매장 방문해서 전골 먹었어요 맛있습니다,32,31,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,블링선데이,46,2025.12.28,1번째 방문,영수증,곱창 왜이렇게 부드러워요..? 진짜 하나도 안질기고 딱 먹자마자 와! 미쳤다! 하면서 먹었습니다!! 진짜 잡내 없이 부드러운 곱창?? 너무 맛있어요,81,True,태양곱창,event,블링선데이,46,2025.12.28,1번째 방문,영수증,,곱창 왜이렇게 부드러워요..? 진짜 하나도 안질기고 딱 먹자마자 와! 미쳤다! 하면서 먹었습니다!! 진짜 잡내 없이 부드러운 곱창?? 너무 맛있어요,,,0,1,곱창 왜이렇게 부드러워요 진짜 하나도 안질기고 딱 먹자마자 와 미쳤다 하면서 먹었습니다 진짜 잡내 없이 부드러운 곱창 너무 맛있어요,82,73,0,0,1,1,3,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,3,1,4,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
태양곱창 성수점,소농민81,110,2025.09.23,1번째 방문,영수증,얼큰하고 맛있어요 술이 술술들어가는 맛,21,True,태양곱창,event,소농민81,110,2025.09.23,1번째 방문,영수증,,얼큰하고 맛있어요 술이 술술들어가는 맛,,,0,1,얼큰하고 맛있어요 술이 술술들어가는 맛,21,21,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
