계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
모과,22,2023-06-25,4.0,False,37,간장 베이스의 돼지고기 무 조림 맛있음 (메뉴 이름 기억 안남...,실버 레벨
맛있어도 불친절은 사양,38,2023-05-21,5.0,True,78,친구랑 어디가지? 하면 호불호없이 가기 좋은 곳이에요 기다리는데 직원분이 치마 짧은 분에게 담요 덮어주는 거 보고 친구랑 감동받았어요 ...,실버 레벨
부비,24,2023-05-19,3.0,True,88,음식은 매우 평범해요 가게 인테리어랑 감성으로 웨이팅이 긴게 오히려 별점 와장창 갉아먹음 다른 일식집이랑 비교해서 특별히 양이 많거나 맛있는것도 아니고 ...,실버 레벨
사형수가된다면마지막은햄버거,524,2023-05-16,5.0,True,117,직원분들이 세상 친절하심. 그냥 아르바이트 대충 쓰는 느낌이 절대아니고 서비스교육을 따로 진행하시는 느낌이에요. 유니폼부터 딱 맞추셔서 깔끔하고 응대도 되게 전문적이시고 한분도 빠짐없이 친절하게 대해주셔서...,블루 레벨
이경아,6,2023-05-11,2.0,False,64,3년전까지 자주 다니던 곳이고 다양한메뉴를 먹어봤었는데 주관적 사견으로 생선가스양이 이집 처럼 적은양은 난생 ...,브론즈 레벨
Iris-youngsun,1,2023-04-19,1.0,True,105,처음 갔을 때 너무 좋아서 부모님 모시고 방 예약해서 갔는데 주문한 함박스테이크를 잘라보니 많은 부분이 생고기로 전혀 익지 않았어요. 보통 온도를 체크하거나 가운데 눌러보면 익은지 안...,브론즈 레벨
현아,1,2023-02-10,1.0,False,421,"ㅋㅋㅋㅋㅋ 제 친구가 먼저 도착해서 웨이팅 기다렸는데 일행 안 와서 입장 안되는 거 까지는 이해해요 ㅋㅋㅋㅋㅋ 근데 제 친구가 말하는 거 끝까지 듣지도 않고 대답하는 아르바이트생의 행동, 다른 손님들과 전혀 다른 대응 방식으로 무시하는듯한 말투 어이없고요 다른 손님들한테도 제 친구처럼 행동했던 거처럼 행동하면 아 ~ 싹수없는 아르바이트생이구나 생각하고 기다리는데 제 친구한테만 그러더라고요? ^^ ㅋㅋㅋㅋㅋㅋ 그래서 다른 식당 갔어요 ㅋㅋㅋㅋㅋ 그렇게 행동해도 손님 많으니 .. 아르바이트생 행동이 그런 건지 ... 참 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 안 먹어 봤어도 이런 후기 남기는 저도 ~ 얼마나 기분 나빴는지 아시라고 후기 남겨요 ㅎㅎ 결국 다른 식당 가서 여기 식당 까면서 맛있게 먹었네요 ㅎㅎㅎ 길게 남긴 거 처음인데 ^^ .; 억울해서 후기 남겨요",브론즈 레벨
5점 잘 안 준다,387,2023-02-01,5.0,True,31,돈까스가 맛있어요… 양이 적은진 모르겠네요 배부르게 먹음,블루 레벨
냐냥,33,2023-01-14,1.0,False,2,에휴,실버 레벨
열심히먹어요,112,2023-01-08,4.0,False,85,"3명이서 붓카케 우동, 히레카츠 정식, 가츠나베 정식 먹었어요. 맛은 무난무난.. 양이 좀 많이 적어요. 또 웨이팅 할 것 같진 않아요. 분위기는 좋음!",골드 레벨
마카롱냠냠,74,2022-12-21,5.0,True,23,맛있어요! 얼그레이 하이볼도 먹었는데 굿굿,실버 레벨
샤이유니콘,141,2022-12-10,4.0,True,17,사케동 사케도로동 얼그레이하이볼,골드 레벨
yoon,66,2022-12-02,3.0,False,22,한옥개조한 식당인 느낌만 좋고 맛은 쏘쏘,실버 레벨
어디가맛집이냐,31,2022-10-26,3.0,False,17,분위기는 좋은데 맛은 평범했어요,실버 레벨
"Never mind, i ain't",321,2022-10-22,3.0,False,7,양이 적어요.,골드 레벨
ㅇㅁㄹ,13,2022-10-03,5.0,True,88,리뷰 보고 걱정하면서 갔는데 남자 직원분 친절하게 안내해주셨구요 미리 주문하고 기다리니 음식도 빨리 나오고 히레카츠 정식이랑 가츠나베정식 시켰는데 맛있었어요!,실버 레벨
뾰잇,125,2022-09-15,4.0,False,26,사케동 개맛있고 우니 좀 비림 연어스테이크 개짬,실버 레벨
타이거,8,2022-08-20,1.0,False,69,별점알바를 쓰는듯. 1시간 넘게 기다렸는데~빨리먹고 나가라고 눈치주네요. 맛도 그냥 기대이하고 내 귀중한 시간이 너무 아까워,브론즈 레벨
메메드,77,2022-08-08,2.0,False,17,여기 줄서는 사람이랑은 친구안함,실버 레벨
현아,1,2023-02-10,1.0,False,116,"ㅋㅋㅋㅋㅋ 제 친구가 먼저 도착해서 웨이팅 기다렸는데 일행 안 와서 입장 안되는 거 까지는 이해해요 ㅋㅋㅋㅋㅋ 근데 제 친구가 말하는 거 끝까지 듣지도 않고 대답하는 아르바이트생의 행동, 다른 손님들과 ...",브론즈 레벨
타이거,8,2022-08-20,1.0,False,50,별점알바를 쓰는듯. 1시간 넘게 기다렸는데~빨리먹고 나가라고 눈치주네요. 맛도 그냥 ...,브론즈 레벨
김연진,11,2022-06-25,1.0,False,22,별채 예약했는데 50분만에 먹고 나가래요,실버 레벨
응애,5,2022-06-23,4.0,True,69,"외부,내부 인테리어도 깔끔하고 예뻤고, 직원분들도 엄청 친절하세요~ 단점은 가격대비 양이 적었어요.. 대체적으로 괜찮았습니다",브론즈 레벨
귄카,32,2022-06-06,2.0,True,62,2020년에 방문했을 때는 오른쪽처럼 연어가 두꺼웠는데 최근에 방문하니까 연어 두께가 반이 됐음.. 너무 아쉬움,실버 레벨
Barcia,744,2022-05-05,5.0,False,11,사케동 먹으러 가즈아,골드 레벨
베타,19,2022-04-29,3.0,False,175,"인테리어 분위기 1티어 음식맛 3티어, 딱 2티어인 집. 도산대로에도 생겼다길래 맛이 좀변했나싶었지만 혜화대로라면 도산대로에서 발릴듯하다......더이상 특이한 메뉴가 있는것도 아니고ㅋㅋ 거기다 항상 양이적네요.....일식의 묘미를 이렇게 살릴수도 있다 군요(+돈테키정식이면 돼지고기인데 무조건 미디움레어로 나옴)",실버 레벨
고양이,410,2022-04-27,4.0,True,87,인테리어이쁘고 브레이크타임 한시간 전에 가서 잘 먹고옴. 생선까스 맛있고 약간 레몬섞인 단 타르타르소스도 잘 어울렸음. 다만 레모네이드주문했는데 누락시키심ㅠ,골드 레벨
행복만땅,1,2022-04-26,5.0,True,50,넘맛있게 잘 먹고 왔습니다 음식도 맛있고 인테리어도 좋고 직원분들도 친절하시고 대만족!!!,브론즈 레벨
jin,66,2022-04-13,4.0,False,53,명성에 기대했으나 느끼해서 많이못먹음 메뉴도 호불호 갈리는편 인테리어가 이뻐서 조용히 먹기 좋음,실버 레벨
와우왕,126,2022-02-22,2.0,False,20,가츠나베가 짜기만 하고 별로였어요..,실버 레벨
3점평범4점맛있5점최고,539,2022-02-03,4.0,False,22,분위기가 특색 있어요 맛은 평범한 일식집,블루 레벨
.,142,2022-01-27,3.0,False,28,"항상 웨이팅있고 정신없음, 맛은 평범 하이볼 맛있음",실버 레벨
누구게,63,2022-01-23,1.0,False,44,4인 테이블이 거의 없어서 3명이상 가시면 엄청난 웨이팅을 경험 할 수 있습니다,실버 레벨
황인준,83,2022-01-14,5.0,True,51,돈까스 너무 맛있고 바삭바삭해요ㅜㅜ 직원분들이 진짜 친절하세요 가게도 예쁘고 분위기도 좋아요,골드 레벨
ㅇㅇ,3,2022-01-10,1.0,False,33,미접종자는 PCR음성확인서 들고가도 안받아줍니다. 참고하세요,브론즈 레벨
gsh,13,2021-11-26,3.0,False,52,한번은 가겠지만... 우선 음식이 전체적으로 짭짤한편 + 피클은 경악... 인스타용맛집인듯..,브론즈 레벨
베타,19,2022-04-29,3.0,False,121,"인테리어 분위기 1티어 음식맛 3티어, 딱 2티어인 집. 도산대로에도 생겼다길래 맛이 좀변했나싶었지만 혜화대로라면 도산대로에서 발릴듯하다......더이상 특이한 메뉴가 있는것도 아니고ㅋㅋ 거기다 항상 양이적네요....",실버 레벨
묘묘,597,2021-11-10,2.0,True,57,솔직히 여기보다 맛있는 사케동 많은데 가격이 사악해요. 사케동뿐만 아니라 전체적으로 가성비 안좋습니다.,블루 레벨
맘에 안들면 침뱉는 맛맛이,268,2021-10-31,3.0,False,68,브레이크타임때 미리가서 바로 들어가서 다행. 리뷰보니 진짜 최근에 가격오른듯.. 사케동 1.4. 가격에 비하면 그냥 평범!,골드 레벨
